"feature_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"ENSG00000133317",124.124368890517,2.52167149685883,0.202530263863267,1.03501542774875e-37,1.98826463670534e-33,"LGALS12"
"ENSG00000092020",103.916864140883,-2.0590179650056,0.179657276358749,1.15294606988511e-31,1.10740470012465e-27,"PPP2R3C"
"ENSG00000110852",215.633270080099,-2.32565838031046,0.209433894542612,2.28177827125849e-30,1.46109868636252e-26,"CLEC2B"
"ENSG00000108828",421.308207757904,1.82209446698006,0.163572512921079,9.17970141913645e-30,4.40855160654028e-26,"VAT1"
"ENSG00000067225",4882.35877356647,1.4364311086392,0.129314221363419,3.14595178569447e-29,1.20867467606382e-25,"PKM"
"ENSG00000101439",7686.40306583402,2.18718221596127,0.202089328224289,9.14771938624308e-29,2.69284361676035e-25,"CST3"
"ENSG00000204619",649.979961284413,1.18389367624134,0.107191636060836,9.81254831719023e-29,2.69284361676035e-25,"PPP1R11"
"ENSG00000117984",10217.1380422303,2.17961232963034,0.2078498109382,3.46168399942883e-27,8.31236870362848e-24,"CTSD"
"ENSG00000198816",166.718737078301,2.44057787516597,0.235714609030698,4.24300523995346e-27,9.05645896216734e-24,"ZNF358"
"ENSG00000067829",451.199345820943,1.2340131685046,0.116617691459727,1.41156582914598e-26,2.46510723435403e-23,"IDH3G"
"ENSG00000134590",185.11106669901,1.49882943487679,0.142167379293367,1.32712193061495e-26,2.46510723435403e-23,"RTL8C"
"ENSG00000105223",1258.12137984387,1.69354492917938,0.166143712226347,3.31823237670162e-25,5.31193699636984e-22,"PLD3"
"ENSG00000089327",1778.48643735978,1.66596138281945,0.164508180215879,6.99474797492168e-25,1.03360852767881e-21,"FXYD5"
"ENSG00000100075",459.24361372925,1.87019522843576,0.185852327631169,7.8640168429225e-25,1.07905545394672e-21,"SLC25A1"
"ENSG00000105438",460.732725063111,1.58238358518345,0.156627733814081,1.08263730702536e-24,1.38649751119715e-21,"KDELR1"
"ENSG00000014216",2487.25571656159,1.67159679781423,0.167571690498485,3.20440899209956e-24,3.84729354613954e-21,"CAPN1"
"ENSG00000130175",2323.07308083306,1.29749366453941,0.12958118478781,4.67886256952579e-24,5.28711470356415e-21,"PRKCSH"
"ENSG00000102007",1573.18968117443,1.76491459167917,0.178346362947707,5.62146260544591e-24,5.99934981392311e-21,"PLP2"
"ENSG00000198804",98045.1145565008,1.80754057412107,0.184146854137269,1.11331716137884e-23,1.12562224579408e-20,"COX1"
"ENSG00000111640",12254.0430386283,1.57772161800512,0.160104348712259,1.33387396041476e-23,1.28118593897838e-20,"GAPDH"
"ENSG00000099624",1170.87453468808,2.36169741108532,0.250298276458329,5.78655565452663e-23,5.29332067254555e-20,"ATP5F1D"
"ENSG00000180767",268.307669832851,2.59511985041412,0.279873941487657,7.4609380978872e-23,6.51475549365514e-20,"CHST13"
"ENSG00000102265",1154.74749082421,1.89861853794739,0.198482368791115,9.87169956674464e-23,8.24501515987672e-20,"TIMP1"
"ENSG00000168000",156.327552695198,1.95659833922282,0.205820740893904,1.46033632077323e-22,1.16887753008557e-19,"BSCL2"
"ENSG00000137404",198.507913211034,1.84915677066495,0.193964104689625,1.55484889765845e-22,1.19474589296076e-19,"NRM"
