"feature_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"ENSG00000275895",2.74452929586404,-20.1115203703786,3.79198725588042,3.59215305650842e-09,6.59130833309152e-08,"LOC102724594"
"ENSG00000285238",16.6356320791171,-5.61885069725269,6.6669739080846,3.60040575848459e-06,2.97550448640469e-05,NA
"ENSG00000144290",26.6457625637418,-2.51249889602212,0.59685104744101,1.44782738245849e-08,2.3228068364235e-07,"SLC4A10"
"ENSG00000104290",18.7714286988502,-2.40423280236169,0.792318518018892,2.26681947643256e-06,1.9840212051576e-05,"FZD3"
"ENSG00000009694",20.8254818413849,-2.01019437738713,0.517819806890357,2.43432070252685e-07,2.81619441273276e-06,"TENM1"
"ENSG00000169429",71.7134612975409,-1.96682815065559,0.501013942763378,2.45758475681959e-07,2.83731747280882e-06,"CXCL8"
"ENSG00000134545",21.4823688840316,-1.93869074884139,0.576332084794852,2.61929509442638e-06,2.23837851134749e-05,"KLRC1"
"ENSG00000030419",85.3570435348436,-1.90597795815457,0.353447868074468,2.50498540288641e-10,6.19182874440209e-09,"IKZF2"
"ENSG00000234678",5.86703729112608,-1.90190715483891,0.828164061957676,8.38326002646093e-05,0.000465141011451859,NA
"ENSG00000251192",22.2516454576881,-1.90062918617518,0.394105482077405,5.37114775121577e-09,9.50486354393085e-08,"ZNF674"
"ENSG00000140807",24.4855970789178,-1.84685298826738,0.636330011507838,1.87800189262506e-05,0.00012673531819834,"NKD1"
"ENSG00000185745",376.776121224482,-1.80923452142861,0.485231768009346,1.21634593967338e-06,1.147264506383e-05,"IFIT1"
"ENSG00000187240",14.4468677763136,-1.80710527196387,0.669081785857191,4.06001081341384e-05,0.000249078441172135,"DYNC2H1"
"ENSG00000110852",215.633270080099,-1.73748117532605,0.210624319321913,2.04326739046923e-18,1.10053707728654e-15,"CLEC2B"
"ENSG00000166762",6.84358400396359,-1.71729481234584,0.744059108046123,0.000161477342923735,0.000819481854300519,"CATSPER2"
"ENSG00000174501",15.2879500293307,-1.71217346009226,0.615492798705442,4.88507235723594e-05,0.000291902812744745,"ANKRD36C"
"ENSG00000205809",11.7126013836899,-1.6955774448936,0.618226823271171,5.88850135018944e-05,0.000342358475081441,"KLRC2"
"ENSG00000285103",18.0098897325971,-1.68325457614521,0.512528103838296,1.19144887846236e-05,8.50977724785003e-05,NA
"ENSG00000185261",17.3427252115138,-1.66197571160773,0.440217113573186,2.31024132526042e-06,2.01270307261162e-05,"KIAA0825"
